instance,populationSize,crossoverProb,mutationProb,hv_mean,hv_std,time_mean,time_std,n_runs
instancia_mediana.json,60,0.7,0.05,296.0,51.16572128371453,345.3,20.778221356954983,30
instancia_mediana.json,60,0.7,0.1,299.46666666666664,52.152781744391746,352.96666666666664,20.665619179979913,30
instancia_mediana.json,60,0.7,0.2,315.8333333333333,40.727931052486475,360.1333333333333,9.7086287015401,30
instancia_mediana.json,60,0.9,0.05,310.5,45.36043392117455,356.23333333333335,23.116919215652164,30
instancia_mediana.json,60,0.9,0.1,306.6666666666667,48.215273966640076,354.03333333333336,12.821004676683502,30
instancia_mediana.json,60,0.9,0.2,326.6666666666667,25.370813170246244,371.8333333333333,18.521345250414655,30
instancia_mediana.json,60,1.0,0.05,319.93333333333334,38.475189796608646,361.7,20.49415391831501,30
instancia_mediana.json,60,1.0,0.1,325.5,36.000718383636894,364.93333333333334,17.539970772856037,30
instancia_mediana.json,60,1.0,0.2,318.1333333333333,40.40974048959955,375.3333333333333,21.590760050082302,30
instancia_mediana.json,120,0.7,0.05,311.3333333333333,48.606323792729675,437.2,16.692761181484293,30
instancia_mediana.json,120,0.7,0.1,329.93333333333334,34.327965209174565,437.43333333333334,15.795423460573964,30
instancia_mediana.json,120,0.7,0.2,336.46666666666664,25.308760011769298,467.46666666666664,23.973740423326866,30
instancia_mediana.json,120,0.9,0.05,313.26666666666665,44.29830956012947,487.26666666666665,42.086883314477426,30
instancia_mediana.json,120,0.9,0.1,330.8,31.27563775914696,475.6666666666667,25.027341370827898,30
instancia_mediana.json,120,0.9,0.2,337.43333333333334,23.482470840642147,491.46666666666664,34.72823886569322,30
instancia_mediana.json,120,1.0,0.05,327.56666666666666,34.669556687669655,496.93333333333334,41.71490540961747,30
instancia_mediana.json,120,1.0,0.1,344.73333333333335,19.01892584321957,481.9,28.14169810821289,30
instancia_mediana.json,120,1.0,0.2,344.1666666666667,16.97276384810907,501.46666666666664,28.472289412125182,30
instancia_mediana.json,200,0.7,0.05,325.2,31.965930139058568,598.0333333333333,27.67979884984386,30
instancia_mediana.json,200,0.7,0.1,328.2,31.266816165120627,600.5333333333333,28.798627042625316,30
instancia_mediana.json,200,0.7,0.2,340.5,20.241217763556723,618.4666666666667,20.898330791837328,30
instancia_mediana.json,200,0.9,0.05,338.73333333333335,24.313942833114368,626.8666666666667,25.304672232250148,30
instancia_mediana.json,200,0.9,0.1,340.8333333333333,23.196437498971218,643.3666666666667,37.20537904503943,30
instancia_mediana.json,200,0.9,0.2,345.0,17.859605741487666,651.5,19.7950707901287,30
instancia_mediana.json,200,1.0,0.05,348.1333333333333,9.156619363112107,666.1666666666666,34.02036239476683,30
instancia_mediana.json,200,1.0,0.1,348.3666666666667,14.22111915023067,668.4666666666667,25.582501203285272,30
instancia_mediana.json,200,1.0,0.2,336.3666666666667,30.549545211732344,667.4333333333333,23.81781908040966,30
instancia_pequena.json,60,0.7,0.05,8190.0,0.0,96.16666666666667,31.884579921673883,30
instancia_pequena.json,60,0.7,0.1,8190.0,0.0,88.36666666666666,1.5196036990935666,30
instancia_pequena.json,60,0.7,0.2,8190.0,0.0,88.56666666666666,3.3700847562587826,30
instancia_pequena.json,60,0.9,0.05,8190.0,0.0,88.5,0.5723514714723383,30
instancia_pequena.json,60,0.9,0.1,8190.0,0.0,88.66666666666667,1.4463588845748179,30
instancia_pequena.json,60,0.9,0.2,8190.0,0.0,89.03333333333333,0.889917986664224,30
instancia_pequena.json,60,1.0,0.05,8190.0,0.0,89.26666666666667,0.5832922809856739,30
instancia_pequena.json,60,1.0,0.1,8190.0,0.0,89.06666666666666,1.5742175578808126,30
instancia_pequena.json,60,1.0,0.2,8190.0,0.0,88.8,0.5508613944197477,30
instancia_pequena.json,120,0.7,0.05,8190.0,0.0,144.0,1.2034433356286336,30
instancia_pequena.json,120,0.7,0.1,8190.0,0.0,144.26666666666668,0.868344970910611,30
instancia_pequena.json,120,0.7,0.2,8190.0,0.0,143.96666666666667,1.2172137016162419,30
instancia_pequena.json,120,0.9,0.05,8190.0,0.0,144.96666666666667,1.6078113916950512,30
instancia_pequena.json,120,0.9,0.1,8190.0,0.0,145.86666666666667,5.110727954986945,30
instancia_pequena.json,120,0.9,0.2,8190.0,0.0,144.6,1.2757688689165259,30
instancia_pequena.json,120,1.0,0.05,8190.0,0.0,145.3,2.1837961253838216,30
instancia_pequena.json,120,1.0,0.1,8190.0,0.0,146.5,4.732499521831769,30
instancia_pequena.json,120,1.0,0.2,8190.0,0.0,148.33333333333334,6.6297830272570515,30
instancia_pequena.json,200,0.7,0.05,8190.0,0.0,242.2,8.25624110848147,30
instancia_pequena.json,200,0.7,0.1,8190.0,0.0,240.43333333333334,1.8879533405494795,30
instancia_pequena.json,200,0.7,0.2,8190.0,0.0,241.83333333333334,5.166759361422843,30
instancia_pequena.json,200,0.9,0.05,8190.0,0.0,241.13333333333333,2.029665053619701,30
instancia_pequena.json,200,0.9,0.1,8190.0,0.0,240.86666666666667,1.696514344041984,30
instancia_pequena.json,200,0.9,0.2,8190.0,0.0,243.3,7.071799263807355,30
instancia_pequena.json,200,1.0,0.05,8190.0,0.0,241.7,2.1995297303020838,30
instancia_pequena.json,200,1.0,0.1,8190.0,0.0,241.6,1.2757688689165239,30
instancia_pequena.json,200,1.0,0.2,8190.0,0.0,242.26666666666668,1.5521583045227212,30
